"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"Product","/products/basmala-calligraphy-islamic-wall-art-wooden-acrylic",794,868,55,16,6
"Product","/products/wall-mounted-key-holder-barakah-dua",1600,1771,54,22,8
"Product","/products/ayatul-kursi-arabic-calligraphy-metal-clock-islamic-wall-art",886,1021,53,18,7
"Product","/products/islamic-gift-ramadan-calendar-pouch-kids",1607,1714,52,16,4
"Product","/products/islamic-gift-ramadan-calendar-metal-islamic-table-decor",1107,1179,52,23,10
"Product","/products/ayatul-kursi-islamic-metal-wall-art-shiny",778,854,52,25,10
"Product","/products/morocco-map-wooden-wall-map",960,1058,52,12,6
"Product","/products/bismillah-key-holder-arabic-calligraphy-islamic-wall-art-decor",630,687,51,19,6
,"/en-sa/products/uv-print-palestine-map-wall-decor",455,499,51,26,5
"Product","/products/surah-fatiha-round-muslim-jewelry",921,1010,51,17,7
"Product","/products/metal-candleholder-islamic-table-decor-hadha-min-fadli-rabbi",609,664,49,14,5
"Product","/products/bismillah-alhamdulillah-subhanallah-inshallah-metal-islamic-wall-art",752,850,49,17,8
"Product","/products/most-popular-arabic-calligraphy-tempered-glass-islamic-wall-art-decor",743,820,49,18,5
"Product","/products/allah-necklace-muslim-jewelry",933,1015,48,24,1
"Product","/products/set-of-two-vertical-tawheed-first-kalima-and-surah-al-qasas-24-column-set",1437,1500,48,27,12
"Product","/products/asma-ul-husna-99-names-of-allah-kufic-islamic-wall-art-decor",544,597,47,24,6
,"/en-sa/products/dua-for-entering-home-and-leaving-home-wood-key-holder",357,397,47,21,4
"Product","/products/kufic-surah-al-ikhlas-an-nas-al-falaq-al-kafirun-islamic-wall-art",915,1050,47,19,7
"Product","/products/surah-al-ikhlas-shiny-metal-clock-islamic-wall-art",769,853,45,18,5
"Product","/products/islamic-gift-ramadan-kareem-arabic-calligraphy-wooden-islamic-decor",470,495,45,15,6
"Product","/products/kaaba-decor-first-kalima-and-allah-name-islamic-wall-art",639,720,45,16,8
"Product","/products/masjid-al-aqsa-night-view-islamic-wall-art-canvas-print",1305,1456,45,17,10
"Product","/products/surah-rahman-ayat-13-glass-islamic-wall-art",938,1028,44,9,0
"Product","/products/first-kalima-islamic-wall-art-vertical",623,717,44,19,10
"Product","/products/99-names-of-allah-clock",686,755,44,24,4
"Product","/products/kufic-islamic-calligraphy-ayatul-kursi-surah-al-falaq-an-nas-set-of-3",697,801,42,14,9
"Product","/products/iran-wooden-wall-map",1347,1477,42,17,8
"Product","/products/kiswa-of-kaaba-gate-uv-printed-wooden-islamic-wall-art",835,916,42,13,3
"Product","/products/suhoor-dua-and-iftar-dua-metal-islamic-gift-tabletop-decor",846,887,42,11,6
"Product","/products/whirling-darwish-hand-painted-islamic-iznik-tile-wall-art",941,1072,42,13,4
"Product","/products/circular-kufic-basmala-al-falaq-an-nas-al-ikhlas-al-kafirun-wooden-islamic-wall-art",631,707,41,21,2
"Product","/products/barakah-dua-arabic-calligraphy-islamic-art-tabletop-decor",456,531,39,14,3
"Product","/products/afghanistan-wooden-wall-map-wood-islamic-wall-art-decor",323,415,39,26,9
"Product","/products/ayatul-kursi-surah-falaq-nas-islamic-wall-art-set-of-3-mat-metal",466,610,39,22,14
"Product","/products/allah-swt-calligraphy-islamic-wall-art",1527,1622,39,12,1
"Product","/products/nikkah-sign-muslim-wedding-glass-decor-surah-nebe-8",700,766,39,14,1
"Product","/products/surah-al-alaq-tempered-glass-islamic-wall-art",692,790,38,17,2
"Product","/products/ayatul-kursi-surah-al-falaq-surah-an-nas-kufic-metal-islamic-wall-art",821,911,38,21,12
"Product","/products/surah-rahman-verse-78-tempered-glass-islamic-wall-art-decor",685,738,38,11,4
"Product","/products/surah-al-ikhlas-metal-clock-islamic-wall-art-silver",643,732,37,13,6
"Product","/products/allah-swt-name-islamic-wall-clock-with-arabic-numbers",648,725,36,17,7
"Product","/products/ayatul-kursi-transliteration-islamic-metal-wall-art",380,506,36,16,5
,"/en-sa/products/ayatul-kursi-calligraphy-islamic-wall-art-tulip",570,632,36,14,3
"Product","/products/islamic-praying-beads-deep-red-black-classic-pray-tasbeeh",639,745,36,21,4
"Product","/products/allah-muhammad-islamic-wall-art",2284,2408,36,12,3
"Product","/products/kalima-tawheed-and-blessing-glass-islamic-wall-decor",894,1007,36,9,0
"Product","/products/ahlan-wa-sahlan-islamic-gift-arabic-wooden",549,593,35,14,5
"Product","/products/mashallah-wall-art-islamic-metal",471,523,34,19,2
"Product","/products/map-of-yemen-country-wood-art-wall-decor",724,800,34,15,4
"Product","/products/salawat-on-prophet-muhammad-metal-islamic-wall-art",507,564,34,22,8
"Product","/products/ramadan-calendar-islamic-gift-metal-ramadan-table-decor",728,786,34,16,6
"Product","/products/kufic-calligraphy-asma-ul-husna-99-names-of-allah-islamic-wall-art",415,470,33,13,1
"Product","/products/hadha-min-fadli-rabbi-islamic-metal-wall-art",413,446,33,12,5
"Product","/products/woven-table-runner-home-kitchen-dining-table-decor",706,773,33,6,1
"Product","/products/metal-ramadan-calendar-with-masjid-design-horizontal-islamic-table-decor",392,426,33,7,0
"Product","/products/first-kalima-islamic-wall-art-metal",754,824,33,13,4
"Product","/products/palestine-necklace",366,428,33,24,8
"Product","/products/ayatul-kursi-tulip-style-tempered-glass-islamic-wall-art",478,538,33,7,2
"Product","/products/subhanallah-alhamdulillah-allahuakbar-wooden-set-islamic-wall-art-decor",558,646,32,15,4
"Product","/products/ayatul-kursi-kufic-calligraphy-islamic-wall-art",560,679,32,16,2
"Product","/products/whirling-dervish-islamic-wall-art-modern-canvas-printing",594,674,32,10,4
"Product","/products/wooden-mihrab-muslim-home-decors-prayer-room-ideas-islamic-wall-art",477,584,32,16,8
"Product","/products/bismillah-metal-islamic-wall-art-vertical",438,497,32,14,10
"Product","/products/mihrab-wood-islamic-home-decor",746,797,31,11,6
"Product","/products/islamic-gift-ramadan-kareem-eid-mubarak-wooden-islamic-wall-art",694,732,31,6,4
"Product","/products/prayer-rug-cream",557,612,31,6,3
"Product","/products/ayatul-kursi-and-salawat-shiny-metal-islamic-wall-art",830,896,30,12,6
"Product","/products/ramadan-calendar-islamic-gift-metal-acrylic-islamic-table-decor",517,556,30,11,4
"Product","/products/allahumma-salli-and-allahumma-barik-dua-metal-islamic-wall-art",367,412,30,15,5
"Product","/products/islamic-prayer-mat-white-blue-classic-ornate-prayer-rug-carpet",404,537,30,12,2
"Product","/products/ayatul-kursi-circle-tempered-glass-islamic-wall-art",603,657,30,11,2
"Product","/products/4-qul-surahs-islamic-wall-art-elegant-islamic-home-decor",610,688,30,18,10
"Product","/products/metal-quran-box-and-rosary-hanger",625,661,29,10,2
"Product","/products/hawqala-la-hawla-wa-la-quwwata-illa-billahil-aliyyil-azeem-powder-painted-metal-islamic-wall-art",2137,2299,29,7,1
"Product","/products/ramadan-kareem-led-table-lamp-cord-type-layered-3d-modern-islamic-decor",431,473,28,13,2
"Product","/products/ramadan-date-holders-bismillah-design-6pcs",196,206,28,17,4
,"/en-sa/products/asma-ul-husna-calligraphy-islamic-wall-art-decor",323,359,28,7,1
"Product","/products/wooden-world-map",1295,1366,28,14,3
"Product","/products/dua-for-barakah-shiny-metal",313,356,28,8,2
"Product","/products/prayer-mat-muslim",784,836,28,11,4
"Product","/products/palestine-map-wall-art-gift-for-palestinian-friend",684,765,28,16,2
"Product","/products/surah-fatiha-ayatul-kursi-set-drop-design-metal-islamic-wall-art",1517,1544,27,10,1
"Product","/products/asma-ul-husna-99-names-of-allah-islamic-wall-art-kufic-calligraphy",497,560,27,16,2
"Product","/products/basmala-surah-baqarah-metal",1041,1091,27,7,3
"Product","/products/whirling-dervish-wooden-islamic-wall-art-decor",372,418,27,7,4
,"/en-sa/products/start-with-bismillah-end-with-alhamdulillah-wooden-islamic-wall-art",136,155,27,13,0
"Product","/products/islamic-gift-ramadan-mubarak-dua-for-iftar-islamic-tabletop-art",688,725,27,15,3
"Product","/products/dua-for-protection-from-evil-eye-wood",366,396,27,6,0
"Product","/products/first-kalima-horizontal-tempered-glass-islamic-wall-art-decor",657,740,27,17,7
"Product","/products/islamic-geometric-pattern-muslim-jewelry",340,377,27,16,4
"Product","/products/surah-ad-duha-ayat-5-metal-islamic-wall-art",374,415,26,13,2
"Product","/products/dua-for-entering-home-islamic-metal-wall-art",618,667,26,9,2
"Product","/products/ayatul-kursi-necklace-islamic-calligraphy",313,330,26,16,4
"Product","/products/dua-when-leaving-home-islamic-glass-wall-art",431,479,25,2,0
"Product","/products/sabr-shukr-tawakkul-wooden-islamic-wall-art-set-patience-gratitude-trust-with-arabic-calligraphy",367,425,25,15,1
"Product","/products/kaaba-decor-written-first-kalima-and-allah-name-islamic-wall-art",232,292,25,13,9
"Product","/products/la-hawla-wa-la-quwwata-illa-billah-tempered-glass-islamic-wall-art",655,698,25,13,1
"Product","/products/islamic-prayer-rug",814,888,24,8,0
"Product","/products/islamic-gift-ramadan-kareem-english-calligraphy-islamic-table-art",443,467,24,11,3
"Product","/products/ayatul-kursi-circular-design-tempered-glass-islamic-wall-art",718,790,24,5,0
"Product","/products/ayatul-kursi-islamic-printing-canvas-wall-art",615,695,24,11,3
"Product","/products/palestine-map-necklace",477,496,24,10,2
"Product","/products/ayatul-kursi-kufic-calligraphy-decor-wooden-islamic-wall-art-black-background",581,632,23,9,0
"Product","/products/first-kalima-vertical",369,408,23,9,1
"Product","/products/dua-of-yunus-metal",319,341,23,12,6
"Product","/products/surah-yusuf-verse-64-metal-islamic-wall-art",328,399,23,9,6
"Product","/products/salawat-on-prophet-muhammad-metal-decor",189,212,23,15,3
"Product","/products/ayatul-kursi-kufic-shape-tempered-glass-islamic-wall-art",389,450,23,11,1
"Product","/products/prophet-muhammad-the-noble-hilya-sharif-ahmed-kemal-design-islamic-wall-art-on-tempered-glass",139,148,23,19,0
"Product","/products/whirling-dervish-islamic-candle-holder-perfect-gift-for-art-lovers",210,234,23,8,3
"Product","/products/allah-and-mohammad-wood-islamic-wall-art-circle-design",579,619,23,11,4
"Product","/products/islamic-metal-wall-art-surah-rahman-13",191,238,22,22,5
"Product","/products/personalized-last-name-islamic-gift-metal-tabletop-decor-ramadan-decor",415,430,22,8,3
"Product","/products/glass-islamic-wedding-sign-surah-nebe-verse-8-islamic-art-decor",721,757,22,3,0
"Product","/products/ayatul-kursi-kufic-calligraphy-islamic-wall-art-metal",243,269,22,19,2
"Product","/products/palestine-gold-necklace",461,493,22,11,6
"Product","/products/islamic-wedding-glass-nikkah-mirror-surah-nebe-8",589,639,22,7,1
"Product","/products/set-of-allah-swt-mohammad-pbuh-wooden-islamic-wall-art-decor",727,764,22,12,1
"Product","/products/subhanallah-alhamdulillah-allahuakbar-glass-islamic-wall-art-decor",397,422,22,7,3
"Product","/products/surah-ar-rahman-13th-verse-islamic-wall-art-canvas-printing",464,504,22,12,2
,"/en-sa/products/set-of-glass-4-dhikr-set-islamic-wall-art",301,325,22,7,0
"Product","/products/allah-swt-arabic-calligraphy-wooden-islamic-wall-art",516,554,22,8,3
"Product","/products/bismillah-islamic-wall-art-metal-tughra-design",319,340,21,14,3
"Product","/products/surah-ar-rahman-islamic-wall-art-modern-canvas-printing",558,592,21,6,2
"Product","/products/dua-of-prophet-yunus-tempered-glass-islamic-wall-art-decor",287,306,21,14,0
"Product","/products/wudu-step-by-step-guide-for-kids-islamic-art-decor-on-acrylic",326,360,21,2,2
"Product","/products/sufi-dervish-islamic-wall-art-canvas-printing",482,539,21,6,1
"Product","/products/nikkah-welcome-sign-glass-arabic-wedding-surah-nebe-8",470,492,21,4,0
"Product","/products/muhammad-written-islamic-necklace",382,420,21,16,2
"Product","/products/masjid-an-nabawis-gate-islamic-wall-art-canvas-printing",490,553,21,5,1
,"/en-sa/products/ayatul-kursi-calligraphy-islamic-wall-art",208,251,21,11,3
"Product","/products/circular-ayatul-kursi-metal-islamic-wall-hanging-design",504,553,21,13,1
"Product","/products/ayatul-kursi-circle-muslim-jewelry",316,334,20,5,1
"Product","/products/ayatul-kursi-islamic-wall-art-modern-calligraphy-canvas-printing",569,632,20,1,0
"Product","/products/islamic-wall-art-whirling-dervish-islamic-canvas-printing",527,568,20,6,5
"Product","/products/god-bless-this-home-metal-arabic-islamic-wall-art-decor",344,393,19,5,2
,"/en-sa/products/surah-ar-rahman-13th-verse-canvas-painting-islamic-wall-art",204,228,19,9,1
"Product","/products/the-farewell-sermon-of-prophet-muhammad-uv-print-islamic-wall-art-decor-on-tempered-glass",247,285,19,11,6
"Product","/products/islamic-necklace-nalain-sharif",207,230,19,10,3
"Product","/products/subhanallah-alhamdulillah-allahu-akbar-islamic-wall-art-metal",406,499,19,12,3
"Product","/products/subhanallah-alhamdulillah-allahuakbar-tempered-glass-decor-islamic-wall-art",253,287,18,5,0
"Product","/products/4-dhikr-set-islamic-glass-wall-art",351,378,18,4,4
"Product","/products/saudi-arabia-wooden-wall-map",970,1001,18,12,2
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-diwani",473,544,18,6,4
"Product","/products/islamic-gift-set-prayer-rug-protection-dua-jewelry",827,874,18,9,4
"Product","/products/naad-e-ali-with-lion-design-islamic-wall-art-naad-arabic-calligraphy-decor",325,375,18,12,3
"Product","/products/wedding-sign-glass-decor-islamic-art-surah-nebe-verse-8-bride-groom",464,493,18,4,1
"Product","/products/ramadan-kareem-eid-mubarak-islamic-gift-arabic-calligraphy-table-decor",451,471,18,7,1
"Product","/products/salam-key-holder-latin-calligraphy-islamic-wall-art-decor",341,355,18,3,0
"Product","/products/alhamdulillah-calligraphy-islamic-wall-art-canvas-printing",394,436,18,11,0
"Product","/products/dua-of-prophet-yunus-islamic-wall-art-canvas-printing",399,447,17,5,2
"Product","/products/teardrop-ayatul-kursi-muslim-jewelry",276,286,17,8,0
"Product","/products/islamic-wooden-interior-mihrab-for-home-prayer-space-12-pointed-star",640,666,17,5,0
"Product","/products/bismillah-subhanallah-alhamdulillah-mashaallah-allahuakbar-latin-islamic-tabletop-decor",422,454,17,9,3
"Product","/products/khatam-an-nabiyyin-seal-of-the-mohammad-pbuh-wooden-islamic-wall-art",227,274,17,6,0
"Product","/products/ramadan-calendar-islamic-gift-metal-acrylic-table-decor-islamic-motifs",178,185,17,6,1
"Product","/products/qatar-wooden-wall-map",411,432,17,11,2
"Product","/products/dua-for-successful-metal-islamic-wall-art",791,839,17,11,3
"Product","/products/surah-al-qasas-verse-24-vertical-design-metal-islamic-wall-art",244,275,17,9,0
"Product","/products/bismillah-mashallah-subhanallah-metal-islamic-tabletop-decors",390,414,17,7,0
"Product","/products/ramadan-kareem-islamic-gift-tabletop-decor-in-english-with-minaret",364,380,17,7,3
"Product","/products/verse-8-of-surah-naba-tempered-glass-decor-islamic-wall-art",132,139,17,10,0
